parroquia,motivo,poi_id,nombre,categoria,marca,direccion,lat,lon,maps,actualizado_en,existe_si_no,nombre_real,abierto_si_no,categoria_correcta_si_no,notas,verificado_por,fecha
Zambiza,menor equipamiento,2346,Escuela 24 De Mayo,educacion,,Calle Garcia Gabriel,-0.139229,-78.439181,"https://www.google.com/maps?q=-0.139229,-78.439181",2026-08-03,,,,,,,
Zambiza,menor equipamiento,11582,Farmacia Familiar,farmacia,,,-0.138666,-78.435785,"https://www.google.com/maps?q=-0.138666,-78.435785",2026-08-03,,,,,,,
Zambiza,menor equipamiento,2348,TÍA BABAHOYO AV. 10 DE AGOSTO (Municipio) II,supermercado,,10 de Agosto entre Abdon Calderon y 27 de Mayo,-0.142729,-78.43268,"https://www.google.com/maps?q=-0.142729,-78.432680",2026-08-03,,,,,,,
Zambiza,menor equipamiento,2345,Centro Médico Primavera II,salud,,Llano Grande Av. Gabriel García Moreno y 23 de Abril,-0.139062,-78.44296,"https://www.google.com/maps?q=-0.139062,-78.442960",2026-08-03,,,,,,,
Zambiza,menor equipamiento,10475,Panadería sr William Guatarilla,supermercado,,,-0.148705,-78.441608,"https://www.google.com/maps?q=-0.148705,-78.441608",2026-08-03,,,,,,,
Zambiza,menor equipamiento,2347,Centro Médico con Cristo,salud,,"Llano Chico, Sector de Cocotog, Calle García Moreno 184 Oe2d y 10 de Agosto",-0.138799,-78.431826,"https://www.google.com/maps?q=-0.138799,-78.431826",2026-08-03,,,,,,,
Zambiza,menor equipamiento,2465,Centro de Salud de Zambiza,salud,,Calle Quito s/n y Mejía,-0.14892,-78.443639,"https://www.google.com/maps?q=-0.148920,-78.443639",2026-08-03,,,,,,,
La Merced,menor equipamiento,11101,Viveres chichoriras 135582,supermercado,,,-0.303243,-78.41423,"https://www.google.com/maps?q=-0.303243,-78.414230",2026-08-03,,,,,,,
La Merced,menor equipamiento,1333,Unidad Educativa Angelico de Fiesole,educacion,,,-0.297808,-78.414028,"https://www.google.com/maps?q=-0.297808,-78.414028",2026-08-03,,,,,,,
La Merced,menor equipamiento,11108,Ango chungandro 153286,supermercado,,,-0.298124,-78.406616,"https://www.google.com/maps?q=-0.298124,-78.406616",2026-08-03,,,,,,,
La Merced,menor equipamiento,11102,Arellano morocho chistina 155742,supermercado,,,-0.295369,-78.415321,"https://www.google.com/maps?q=-0.295369,-78.415321",2026-08-03,,,,,,,
La Merced,menor equipamiento,9895,Minimercado Alangasí,supermercado,,,-0.307768,-78.415304,"https://www.google.com/maps?q=-0.307768,-78.415304",2026-08-03,,,,,,,
La Merced,menor equipamiento,9894,Farmacia Alangasí,farmacia,,,-0.30792,-78.415312,"https://www.google.com/maps?q=-0.307920,-78.415312",2026-08-03,,,,,,,
La Merced,menor equipamiento,11069,Viveres Las Marías,supermercado,,,-0.308683,-78.414122,"https://www.google.com/maps?q=-0.308683,-78.414122",2026-08-03,,,,,,,
El Condado,menor equipamiento,2472,Minimarket Sofia,supermercado,,C. Yanacona,-0.101961,-78.508625,"https://www.google.com/maps?q=-0.101961,-78.508625",2026-08-03,,,,,,,
El Condado,menor equipamiento,10715,Farmacias Económicas - El Condado,farmacia,,,-0.103221,-78.509739,"https://www.google.com/maps?q=-0.103221,-78.509739",2026-08-03,,,,,,,
El Condado,menor equipamiento,2471,Unidad Educativa Experimental María Angélica Idrobo,educacion,,JUAN DE VELASCO ALTOS DEL CONDADO,-0.10368,-78.50934,"https://www.google.com/maps?q=-0.103680,-78.509340",2026-08-03,,,,,,,
El Condado,menor equipamiento,10140,QuickMart,supermercado,,,-0.103665,-78.502466,"https://www.google.com/maps?q=-0.103665,-78.502466",2026-08-03,,,,,,,
El Condado,menor equipamiento,10244,Víveres Jorge,supermercado,,,-0.095431,-78.508379,"https://www.google.com/maps?q=-0.095431,-78.508379",2026-08-03,,,,,,,
El Condado,menor equipamiento,2482,Impulsa -360 Marketing,educacion,, Kennedy: Eloy Alfaro y José Felix Barreiro sector SOLCA Quito Ecuador,-0.096028,-78.504138,"https://www.google.com/maps?q=-0.096028,-78.504138",2026-08-03,,,,,,,
El Condado,menor equipamiento,11467,gladys loaisa,supermercado,,,-0.102878,-78.512969,"https://www.google.com/maps?q=-0.102878,-78.512969",2026-08-03,,,,,,,
Rumipamba,mayor equipamiento,39337,SanaSana,farmacia,,,-0.188766,-78.496094,"https://www.google.com/maps?q=-0.188766,-78.496094",2026-08-03,,,,,,,
Rumipamba,mayor equipamiento,9523,Farmacias Cruz Azul,farmacia,,,-0.189545,-78.496849,"https://www.google.com/maps?q=-0.189545,-78.496849",2026-08-03,,,,,,,
Rumipamba,mayor equipamiento,8942,Mini Market Casinas,supermercado,,,-0.187945,-78.495807,"https://www.google.com/maps?q=-0.187945,-78.495807",2026-08-03,,,,,,,
Rumipamba,mayor equipamiento,252,Centro Médico Milenium,salud,,Gral. Murgeon,-0.189432,-78.495946,"https://www.google.com/maps?q=-0.189432,-78.495946",2026-08-03,,,,,,,
Rumipamba,mayor equipamiento,11530,Funfitos,supermercado,,,-0.189522,-78.498083,"https://www.google.com/maps?q=-0.189522,-78.498083",2026-08-03,,,,,,,
Rumipamba,mayor equipamiento,11531,La Granja 2,supermercado,,,-0.187199,-78.498008,"https://www.google.com/maps?q=-0.187199,-78.498008",2026-08-03,,,,,,,
Rumipamba,mayor equipamiento,256,Credental,salud,,Calle Gaspar de Carvajal 90,-0.187675,-78.498468,"https://www.google.com/maps?q=-0.187675,-78.498468",2026-08-03,,,,,,,
Mariscal Sucre,mayor equipamiento,39410,Delicatessen la Kascada,supermercado,,,-0.200156,-78.493759,"https://www.google.com/maps?q=-0.200156,-78.493759",2026-08-03,,,,,,,
Mariscal Sucre,mayor equipamiento,280,Indeg Escuela de Gerencia,educacion,INDEG,Calle Ulpiano Páez 12,-0.199513,-78.495383,"https://www.google.com/maps?q=-0.199513,-78.495383",2026-08-03,,,,,,,
Mariscal Sucre,mayor equipamiento,9567,Mis Marias,supermercado,,,-0.200496,-78.495384,"https://www.google.com/maps?q=-0.200496,-78.495384",2026-08-03,,,,,,,
Mariscal Sucre,mayor equipamiento,283,Dr. Fausto Cabrera,salud,,Calle Alonso de Mercadillo 84,-0.200275,-78.495942,"https://www.google.com/maps?q=-0.200275,-78.495942",2026-08-03,,,,,,,
Mariscal Sucre,mayor equipamiento,284,Dra. Lorena Arellano,salud,,Calle Alonso de Mercadillo 84,-0.200274,-78.495959,"https://www.google.com/maps?q=-0.200274,-78.495959",2026-08-03,,,,,,,
Mariscal Sucre,mayor equipamiento,9568,Form Pharma,farmacia,,,-0.200953,-78.495653,"https://www.google.com/maps?q=-0.200953,-78.495653",2026-08-03,,,,,,,
Mariscal Sucre,mayor equipamiento,9579,Despensa Elihet,supermercado,,,-0.200991,-78.495666,"https://www.google.com/maps?q=-0.200991,-78.495666",2026-08-03,,,,,,,
Itchimbia,mayor equipamiento,39405,Confiteria la Delicia,supermercado,,,-0.200995,-78.492937,"https://www.google.com/maps?q=-0.200995,-78.492937",2026-08-03,,,,,,,
Itchimbia,mayor equipamiento,39471,Pharmalife,farmacia,,,-0.201664,-78.492129,"https://www.google.com/maps?q=-0.201664,-78.492129",2026-08-03,,,,,,,
Itchimbia,mayor equipamiento,1531,Farmacia FAME,farmacia,,Avenida Amazonas 20,-0.203013,-78.493818,"https://www.google.com/maps?q=-0.203013,-78.493818",2026-08-03,,,,,,,
Itchimbia,mayor equipamiento,9298,Mini Market Mafer,supermercado,,,-0.202979,-78.492716,"https://www.google.com/maps?q=-0.202979,-78.492716",2026-08-03,,,,,,,
Itchimbia,mayor equipamiento,290,Science Capacitación Total Preuniversitario,educacion,,Calle 9 de Octubre 12,-0.20164,-78.49467,"https://www.google.com/maps?q=-0.201640,-78.494670",2026-08-03,,,,,,,
